,Ward,District,City,Latitude,Longitude
77,Thịnh Quang,Đống Đa,Hà Nội,21.0068558,105.8189559
78,Trung Tự,Đống Đa,Hà Nội,21.0047986,105.835583
79,Kim Liên,Đống Đa,Hà Nội,21.01087245,105.83164087522587
80,Phương Mai,Đống Đa,Hà Nội,21.0033579,105.8343164
81,Ngã Tư Sở,Đống Đa,Hà Nội,21.0035416,105.8207552
82,Khương Thượng,Đống Đa,Hà Nội,21.0042339,105.824722
83,Nguyễn Du,Hai Bà Trưng,Hà Nội,21.01841295,105.84582106126307
84,Bạch Đằng,Hai Bà Trưng,Hà Nội,21.0036905,105.8742544
85,Phạm Đình Hổ,Hai Bà Trưng,Hà Nội,21.0166174,105.857584
86,Lê Đại Hành,Hai Bà Trưng,Hà Nội,21.0111937,105.8485641
87,Đồng Nhân,Hai Bà Trưng,Hà Nội,21.0133905,105.855847
88,Phố Huế,Hai Bà Trưng,Hà Nội,21.0134558,105.8517516
89,Đống Mác,Hai Bà Trưng,Hà Nội,21.0096628,105.8604096
90,Thanh Lương,Hai Bà Trưng,Hà Nội,21.0075859,105.8633283
91,Thanh Nhàn,Hai Bà Trưng,Hà Nội,21.0084826,105.8562486
92,Cầu Dền,Hai Bà Trưng,Hà Nội,21.0122402,105.8554864
93,Bách Khoa,Hai Bà Trưng,Hà Nội,21.00236545,105.84673085658743
94,Đồng Tâm,Hai Bà Trưng,Hà Nội,20.9972914,105.8454969
95,Vĩnh Tuy,Hai Bà Trưng,Hà Nội,21.0169605,105.8891187
96,Bạch Mai,Hai Bà Trưng,Hà Nội,20.9959056,105.8499488
97,Quỳnh Mai,Hai Bà Trưng,Hà Nội,21.0010747,105.8603487
98,Quỳnh Lôi,Hai Bà Trưng,Hà Nội,21.0019816,105.8597528
99,Minh Khai,Hai Bà Trưng,Hà Nội,20.9963337,105.8624181
100,Trương Định,Hai Bà Trưng,Hà Nội,20.9917547,105.8491844
101,Thanh Trì,Hoàng Mai,Hà Nội,21.0049153,105.9118809
102,Vĩnh Hưng,Hoàng Mai,Hà Nội,20.9858157,105.8760705
103,Định Công,Hoàng Mai,Hà Nội,20.988323100000002,105.83164914112298
104,Mai Động,Hoàng Mai,Hà Nội,20.9896693,105.8614933
105,Tương Mai,Hoàng Mai,Hà Nội,20.988236,105.8510691
106,Đại Kim,Hoàng Mai,Hà Nội,20.975381900000002,105.83781759892108
107,Tân Mai,Hoàng Mai,Hà Nội,20.9834237,105.8461682
108,Hoàng Văn Thụ,Hoàng Mai,Hà Nội,21.0387553,105.8375064
109,Giáp Bát,Hoàng Mai,Hà Nội,20.9866926,105.8430822
110,Lĩnh Nam,Hoàng Mai,Hà Nội,20.9612688,105.82356080307301
111,Thịnh Liệt,Hoàng Mai,Hà Nội,20.9739248,105.8439682
112,Trần Phú,Hoàng Mai,Hà Nội,20.9731637,105.8841558
113,Hoàng Liệt,Hoàng Mai,Hà Nội,20.96655095,105.83852386274603
114,Yên Sở,Hoàng Mai,Hà Nội,20.9622016,105.854361
115,Nhân Chính,Thanh Xuân,Hà Nội,21.002931,105.81130787226348
116,Thượng Đình,Thanh Xuân,Hà Nội,20.9956941,105.8148665
117,Khương Trung,Thanh Xuân,Hà Nội,21.0007458,105.8186629
118,Khương Mai,Thanh Xuân,Hà Nội,20.9928013,105.8142843
119,Thanh Xuân Trung,Thanh Xuân,Hà Nội,21.0007458,105.8186629
120,Phương Liệt,Thanh Xuân,Hà Nội,20.9954917,105.8382048
121,Hạ Đình,Thanh Xuân,Hà Nội,21.002931,105.81130787226348
122,Khương Đình,Thanh Xuân,Hà Nội,20.9943748,105.8142269
123,Thanh Xuân Bắc,Thanh Xuân,Hà Nội,20.991304399999997,105.79969331933486
124,Thanh Xuân Nam,Thanh Xuân,Hà Nội,20.99439525,105.81939890126282
125,Kim Giang,Thanh Xuân,Hà Nội,20.9826784,105.8157278
126,Thị trấn Sóc Sơn,Sóc Sơn,Hà Nội,21.03071275,105.85242187917213
127,Bắc Sơn,Sóc Sơn,Hà Nội,21.2876905,105.7753299
128,Minh Trí,Sóc Sơn,Hà Nội,21.2797418,105.7452499
129,Hồng Kỳ,Sóc Sơn,Hà Nội,21.3144972,105.8562394
130,Nam Sơn,Sóc Sơn,Hà Nội,21.2808747,105.82924029963563
131,Trung Giã,Sóc Sơn,Hà Nội,21.2299921,105.7792774
132,Tân Hưng,Sóc Sơn,Hà Nội,18.5041231,105.3463291
133,Minh Phú,Sóc Sơn,Hà Nội,21.1977038,105.8167862
134,Phù Linh,Sóc Sơn,Hà Nội,21.2718578,105.8155193
135,Bắc Phú,Sóc Sơn,Hà Nội,21.2649,105.7815183
136,Tân Minh,Sóc Sơn,Hà Nội,21.2554521,105.7505905
137,Quang Tiến,Sóc Sơn,Hà Nội,21.240902,105.8021949
138,Hiền Ninh,Sóc Sơn,Hà Nội,21.2556212,105.7960151
139,Tân Dân,Sóc Sơn,Hà Nội,21.2477818,105.7443451
140,Tiên Dược,Sóc Sơn,Hà Nội,21.2463899,105.8471831
141,Việt Long,Sóc Sơn,Hà Nội,21.2084205,105.7792166
142,Xuân Giang,Sóc Sơn,Hà Nội,21.2567519,105.8679005
143,Mai Đình,Sóc Sơn,Hà Nội,21.2281855,105.8244251
144,Đức Hoà,Sóc Sơn,Hà Nội,21.0408076,105.7017588
145,Thanh Xuân,Sóc Sơn,Hà Nội,20.9939371,105.8388506
146,Đông Xuân,Sóc Sơn,Hà Nội,21.2299921,105.7792774
147,Kim Lũ,Sóc Sơn,Hà Nội,21.03071275,105.85242187917213
148,Phú Cường,Sóc Sơn,Hà Nội,21.2649,105.7815183
149,Phú Minh,Sóc Sơn,Hà Nội,21.1977038,105.8167862
150,Phù Lỗ,Sóc Sơn,Hà Nội,21.1955031,105.8467539
151,Xuân Thu,Sóc Sơn,Hà Nội,21.03071275,105.85242187917213
152,Thị trấn Đông Anh,Đông Anh,Hà Nội,21.0900304,105.8996544
153,Xuân Nộn,Đông Anh,Hà Nội,21.1367358,105.84635906028333
154,Thuỵ Lâm,Đông Anh,Hà Nội,21.111485549999998,105.87118615059332
155,Bắc Hồng,Đông Anh,Hà Nội,21.1257735,105.7898242
156,Nguyên Khê,Đông Anh,Hà Nội,21.1165812,105.9177659
157,Nam Hồng,Đông Anh,Hà Nội,21.103644,105.7649363
158,Tiên Dương,Đông Anh,Hà Nội,21.1231552,105.9103639
159,Vân Hà,Đông Anh,Hà Nội,21.1404325,105.8137536
160,Uy Nỗ,Đông Anh,Hà Nội,21.1386218,105.8556348
161,Vân Nội,Đông Anh,Hà Nội,21.1404325,105.8137536
162,Liên Hà,Đông Anh,Hà Nội,21.0079913,105.83847610863862
163,Việt Hùng,Đông Anh,Hà Nội,21.1367358,105.84635906028333
164,Kim Nỗ,Đông Anh,Hà Nội,21.1373973,105.76910460377405
165,Kim Chung,Đông Anh,Hà Nội,21.1373973,105.76910460377405
166,Dục Tú,Đông Anh,Hà Nội,21.1218627,105.9087505
167,Đại Mạch,Đông Anh,Hà Nội,21.1212977,105.75467372784479
168,Vĩnh Ngọc,Đông Anh,Hà Nội,21.1148916,105.8262271
169,Cổ Loa,Đông Anh,Hà Nội,21.096550649999998,105.86833435498359
170,Hải Bối,Đông Anh,Hà Nội,21.1099058,105.79809450895183
171,Xuân Canh,Đông Anh,Hà Nội,21.0898204,105.8534958
172,Võng La,Đông Anh,Hà Nội,21.10903355,105.76512382249587
173,Tàm Xá,Đông Anh,Hà Nội,21.093694149999997,105.8549118488711
174,Mai Lâm,Đông Anh,Hà Nội,21.0859259,105.8819177
175,Đông Hội,Đông Anh,Hà Nội,21.0770618,105.8749764
176,Thị trấn Yên Viên,Gia Lâm,Hà Nội,21.094833100000002,105.92894239797704
177,Yên Thường,Gia Lâm,Hà Nội,21.0969227,105.9154236
178,Yên Viên,Gia Lâm,Hà Nội,21.087571349999997,105.92029800727596
179,Ninh Hiệp,Gia Lâm,Hà Nội,21.061444,105.9725439
180,Đình Xuyên,Gia Lâm,Hà Nội,21.07695005,105.9350181365734
181,Dương Hà,Gia Lâm,Hà Nội,21.0666352,105.93471539417251
182,Phù Đổng,Gia Lâm,Hà Nội,21.0453092,105.9418186
183,Trung Mầu,Gia Lâm,Hà Nội,21.0666352,105.93471539417251
184,Lệ Chi,Gia Lâm,Hà Nội,20.986871,105.9358566
185,Cổ Bi,Gia Lâm,Hà Nội,21.0489853,105.87629720238783
186,Đặng Xá,Gia Lâm,Hà Nội,21.074436,105.92625989803066
187,Phú Thị,Gia Lâm,Hà Nội,21.036392499999998,105.84013345457682
188,Kim Sơn,Gia Lâm,Hà Nội,9.8080368,104.63651205039501
189,Thị trấn Trâu Quỳ,Gia Lâm,Hà Nội,21.0019242,105.9309819
190,Dương Quang,Gia Lâm,Hà Nội,21.077662750000002,105.92817075948143
191,Dương Xá,Gia Lâm,Hà Nội,21.074436,105.92625989803066
192,Đông Dư,Gia Lâm,Hà Nội,20.9708408,105.9512742
193,Đa Tốn,Gia Lâm,Hà Nội,20.9986046,105.9363023
194,Kiêu Kỵ,Gia Lâm,Hà Nội,20.9832294,105.94666139832009
195,Bát Tràng,Gia Lâm,Hà Nội,20.9753294,105.9126548
196,Kim Lan,Gia Lâm,Hà Nội,21.0237482,105.97041496102682
197,Văn Đức,Gia Lâm,Hà Nội,21.0450437,105.8746437
198,Cầu Diễn,Nam Từ Liêm,Hà Nội,21.0362092,105.7622161
199,Xuân Phương,Nam Từ Liêm,Hà Nội,21.06158065,105.79309830716524
200,Phương Canh,Nam Từ Liêm,Hà Nội,21.0364131,105.7549973
201,Mỹ Đình 1,Nam Từ Liêm,Hà Nội,21.0259791,105.7734493
202,Mỹ Đình 2,Nam Từ Liêm,Hà Nội,21.0262205,105.7827027
203,Tây Mỗ,Nam Từ Liêm,Hà Nội,21.0052626,105.7481277
204,Mễ Trì,Nam Từ Liêm,Hà Nội,21.0159948,105.7812132
205,Phú Đô,Nam Từ Liêm,Hà Nội,21.0118717,105.7655158
206,Đại Mỗ,Nam Từ Liêm,Hà Nội,20.991237,105.7631206
207,Trung Văn,Nam Từ Liêm,Hà Nội,20.9914348,105.7894423812046
208,Thị trấn Văn Điển,Thanh Trì,Hà Nội,20.9440066,105.8426115
209,Tân Triều,Thanh Trì,Hà Nội,20.9800714,105.8007005
210,Thanh Liệt,Thanh Trì,Hà Nội,20.9453307,105.87006887617937
211,Tả Thanh Oai,Thanh Trì,Hà Nội,20.9305221,105.7978021
212,Hữu Hoà,Thanh Trì,Hà Nội,10.96648405,106.89177554954243
213,Tam Hiệp,Thanh Trì,Hà Nội,20.9462178,105.8293542
214,Tứ Hiệp,Thanh Trì,Hà Nội,20.9434028,105.8635766
215,Yên Mỹ,Thanh Trì,Hà Nội,20.94773265,105.87074105919939
